"client_id","account_id","loan_id","disp_id","type_disp","frequency","date_account","ammount_loan","duration","payments","balance","balance_sd","status","type_card","birth_number","gender","year"
10040,8127,6667,9732,TRUE,0,941013,155880,24,6495,62045.5,26666.1457993998,1,,681030,FALSE,68
10043,8129,6668,9735,TRUE,0,930626,74736,36,2076,41302.2,10605.6881129534,1,,651029,TRUE,65
10077,8159,6676,9769,FALSE,0,950208,29784,24,1241,28456.3,13131.9771257266,1,,730627,TRUE,73
10199,8260,6686,9891,FALSE,0,930324,224604,36,6239,51658.4,21234.8560104119,1,,790813,FALSE,79
1020,846,5136,1020,TRUE,0,960309,187104,24,7796,86877.7,34581.4013483708,1,,770510,FALSE,77
10201,8261,6687,9893,FALSE,0,930512,87840,24,3660,64813.3,20670.9773821631,1,,851019,TRUE,85
10269,8316,6694,9961,TRUE,0,940604,134784,24,5616,24610.6,25288.2009752466,1,,400511,FALSE,40
10275,8321,6696,9967,TRUE,0,930412,89040,60,1484,29434.4,8832.0792786139,1,,700125,FALSE,70
10282,8327,6698,9974,TRUE,1,950808,247728,48,5161,40433.4,23168.3394450149,1,,790619,TRUE,79
10288,8330,6699,9980,FALSE,0,930328,7656,24,319,41406.7,12923.5603454957,1,,590607,TRUE,59
10351,8377,6704,10043,FALSE,0,931120,417060,60,6951,29874.5,25817.7354135523,1,,581110,TRUE,58
10382,8405,6712,10074,TRUE,0,940510,266220,60,4437,44296.3,11836.4476034268,1,,650217,FALSE,65
10389,8411,6715,10081,TRUE,0,941202,220620,60,3677,34795.9,14352.078379313,1,,430815,FALSE,43
10479,8492,6726,10171,TRUE,0,940629,85860,60,1431,32023.7,7824.8666290422,1,,551020,FALSE,55
10511,8519,6729,10203,FALSE,0,930402,74688,12,6224,36320.1,20930.650934413,1,,500115,TRUE,50
10528,8533,6732,10220,TRUE,0,951010,174048,48,3626,82741.6,23455.927264329,1,,520216,FALSE,52
10543,8547,6734,10235,TRUE,1,950717,173016,36,4806,56004.2,26512.878935391,1,,450223,FALSE,45
10555,8558,6736,10247,TRUE,2,940227,288360,60,4806,31358,16686.2311887643,1,,351215,TRUE,35
10563,8564,6737,10255,TRUE,0,930912,76680,24,3195,51733.9,21005.6802918876,1,,490107,TRUE,49
