"Id","duration","payments","status","balance_sd","balance_diff","household_amount","gender","birth_year","region","no. of inhabitants","ratio of urban inhabitants","average salary","diff_unemploymant","diff_crimes"
4959,24,3373,1,12061.7056818761,66429.6,7266,1,NA,5,1204953,100,12541,0.14,13430
4961,12,2523,-1,15039.2484049323,57442.5,15925,0,NA,6,103347,67,9104,0.56,55
4973,24,6915,1,20955.6469983724,106369.6,6393,0,NA,6,93931,56.9,8427,0.42,39
4996,12,7370,1,21638.2588696712,103039,0,0,NA,3,128118,85.3,9317,0.58,-77
5002,12,8734,1,11517.1752482123,57365.3,6256,1,NA,7,125832,48.3,8512,0.61,-144
5032,48,2577,1,20572.4575297371,89522.2,2653,1,NA,7,124605,46,8772,0.29,304
5044,60,1683,1,9576.32771690869,52776.7,4739,1,NA,7,387570,100,9897,0.36,-25
5045,24,7801,-1,22038.4815890867,92814.6,0,1,NA,5,1204953,100,12541,0.14,13430
5060,60,4201,-1,21418.9138558837,105359.6,7497,0,NA,7,110643,51.9,8441,1.03,373
5082,60,4383,1,16330.1732223154,77674.3,0,0,NA,1,53921,41.3,8598,0.49,278
5088,24,3798,1,13400.0640966406,71927.7,0,1,NA,3,105058,81,9272,0.42,165
5125,48,1522,1,6550.59542995513,33055.4,2153,1,NA,3,119895,89.9,10446,2.06,-204
5126,48,4336,-1,22812.186440376,97133.7,0,1,NA,7,387570,100,9897,0.36,-25
5128,48,4492,-1,13056.9873065428,53549.4,10440,1,NA,4,42821,48.4,8173,0,0
5130,12,2026,1,7695.86280086246,47177.9,0,0,NA,6,93931,56.9,8427,0.42,39
5131,24,2026,1,25825.8581816605,133987.4,4514,1,NA,3,128118,85.3,9317,0.58,-77
5132,60,8975,1,13408.0203646534,69575.9,4605,1,NA,1,95616,51.4,9307,0.58,424
5136,24,7796,1,34581.4013483708,136893.5,0,0,NA,4,226122,62.6,8994,0.99,-464
5138,48,1817,1,6554.7605128343,43087.3,382,0,NA,5,1204953,100,12541,0.14,13430
5145,48,6449,1,21979.384405419,121013.2,14291,1,NA,4,226122,62.6,8994,0.99,-464
5148,60,4738,1,20167.8024295163,109061.9,0,0,NA,3,114006,62.3,9065,0.93,19
5151,60,3151,1,24683.0632141581,101593.6,5940,0,NA,1,149893,67.4,9753,0.41,648
5160,60,3400,1,12656.7828254321,67772.8,7085,1,NA,2,77917,53.5,8390,0.61,42
5161,24,4091,1,19672.650902027,68456.1,0,0,NA,7,114200,43.7,8403,-0.0200000000000005,561
5170,60,4220,1,26552.7395045982,103617.9,0,0,NA,2,139012,61.9,8363,0.97,235
5176,24,8023,-1,13015.0266748654,48763,0,0,NA,6,70646,58.4,8547,0.99,-21
5189,48,3105,1,12658.2467643,62241.6,4397,0,NA,1,75637,36.5,9622,0.14,54
5208,48,2077,-1,28762.2069360507,128659.5,0,0,NA,7,114200,43.7,8403,-0.0200000000000005,561
5209,48,3805,1,14199.3815228476,63811.8,61,0,NA,7,145688,40.7,8544,0.57,187
5212,36,1974,1,9923.17154112448,54673.3,1178,0,NA,3,85852,59.8,8965,1.15,169
5237,24,1889,1,11574.1022400041,70686,5930,1,NA,6,51428,52.7,8402,0.85,100
5269,36,4557,-1,30609.3898880806,114610.3,0,0,NA,8,51313,59.2,8930,0.68,124
5282,48,8094,-1,21196.6821317327,87582.3,0,0,NA,4,42821,48.4,8173,0,0
5285,12,6578,1,7684.86970531107,39660.3,2359,0,NA,8,51313,59.2,8930,0.68,124
5301,36,3943,1,17970.9789771546,62463.1,0,0,NA,4,228848,57.2,9893,0.63,264
5310,36,6893,1,10761.578895609,66886,853,0,NA,8,72541,36.9,8594,0.39,-55
5311,60,501,1,11270.5037458701,68882.9,4353,1,NA,8,72541,36.9,8594,0.39,-55
5312,36,5633,1,23297.6635746445,138780.9,11994,0,NA,8,51313,59.2,8930,0.68,124
5314,12,8033,-1,8330.8663014919,19000,0,0,NA,8,94812,81.8,9650,0.29,-181
5316,36,4610,1,29122.0594539456,119812.8,4167,1,NA,2,112709,73.5,8369,0.52,-236
5319,60,3991,1,16062.5321384148,74108.8,4206,0,NA,4,228848,57.2,9893,0.63,264
5325,36,2939,1,14151.2604430371,64898.5,6994,0,NA,6,177686,74.8,10045,0.29,-309
5329,60,6602,1,20275.1419809661,104359.1,0,0,NA,6,51428,52.7,8402,0.85,100
5337,36,4513,1,24180.8889239258,83162.8,0,0,NA,3,105058,81,9272,0.42,165
5350,48,5194,1,23021.0410612378,87697.4,14164,1,NA,8,170449,100,10787,0.45,220
5351,36,5700,1,17204.0709095607,93028.5,7001,0,NA,5,1204953,100,12541,0.14,13430
5352,12,5700,-1,12297.1550986777,50442.2,0,0,NA,4,228848,57.2,9893,0.63,264
5366,12,7182,1,25642.0771571919,127846,107,0,NA,4,285387,89.9,10177,1.12,230
5375,12,8460,1,10352.391968575,42818.7,3468,0,NA,5,1204953,100,12541,0.14,13430
5385,36,1985,1,16380.594606473,75703.1,7264,0,NA,5,1204953,100,12541,0.14,13430
5388,12,5130,1,17762.2246702773,73359.9,1737,1,NA,8,51313,59.2,8930,0.68,124
5390,24,7094,1,13589.3839888406,79669.8,5922,0,NA,6,93931,56.9,8427,0.42,39
5395,36,8308,-1,33855.6980257672,193409.9,1085,0,NA,4,106054,63.1,8110,0.78,-165
5409,60,3034,1,21927.6795286742,109847.5,0,0,NA,6,51428,52.7,8402,0.85,100
5413,24,3874,1,26490.3161352521,122042.1,13386,0,NA,8,51313,59.2,8930,0.68,124
5414,48,3874,1,31588.3799619124,144618.2,4625,1,NA,3,125236,87.7,9675,1.25,-133
5415,36,3874,-1,12989.7812150903,64762.8,0,1,NA,4,182027,56.4,8746,0.41,78
5418,48,7249,1,23422.0265006617,122713.2,0,0,NA,8,45714,55.6,8843,0.78,70
5429,36,561,1,15288.6889647388,76958.8,5742,1,NA,5,1204953,100,12541,0.14,13430
5445,24,1930,1,20752.0889350489,118992.5,3359,1,NA,3,133777,84.7,8705,1.86,209
5449,24,4139,1,7892.72182874921,46268,4723,0,NA,4,228848,57.2,9893,0.63,264
5450,60,3328,1,11909.1687727066,61738.8,3612,1,NA,2,139012,61.9,8363,0.97,235
5452,60,824,1,12804.4639168701,74119.8,5581,0,NA,4,285387,89.9,10177,1.12,230
5453,36,4352,1,6686.14559025204,41376.9,4613,0,NA,8,72541,36.9,8594,0.39,-55
5464,12,7984,1,24705.82136034,121552.2,0,1,NA,2,161854,76.3,9425,0.78,-194
5470,48,4187,1,18916.9395762718,82953.5,9554,1,NA,7,114200,43.7,8403,-0.0200000000000005,561
5479,12,2043,1,29534.2181133033,125054.2,0,1,NA,5,1204953,100,12541,0.14,13430
5482,60,2752,1,6878.83656641474,36846.3,4982,0,NA,2,121947,70.5,8541,0.46,343
5494,48,7500,1,26193.2113809294,125472,0,0,NA,7,197099,74.7,9624,0.71,-219
5495,60,1489,1,10748.387757632,53520.1,5016,0,NA,7,110643,51.9,8441,1.03,373
5519,12,7636,1,10641.4227535957,63877.8,3532,0,NA,2,139012,61.9,8363,0.97,235
5523,36,2608,1,14598.865783435,51778.2,0,0,NA,7,86513,50.5,8288,0.73,-102
5533,24,4641,1,26285.8630675545,140886,6892,1,NA,1,75637,36.5,9622,0.14,54
5549,60,841,1,10371.1237818631,51171.4,7289,0,NA,1,75637,36.5,9622,0.14,54
5563,60,6336,1,27227.8660788503,146275.1,0,1,NA,4,323870,100,10673,0.69,-435
5568,60,4542,1,24196.754530887,120791.4,5907,1,NA,1,92084,46.7,10124,-0.02,506
5576,12,2604,1,28994.6264318251,143715.3,0,0,NA,5,1204953,100,12541,0.14,13430
5586,36,1354,1,19512.7909722538,61991.3,0,0,NA,4,148545,53.5,8909,1.55,130
5591,48,3242,1,13711.0944582933,61853.6,0,0,NA,1,92084,46.7,10124,-0.02,506
5593,36,7719,-1,28041.8750797263,128394.2,6276.92307692308,0,NA,2,105606,53,8254,0.97,159
5595,12,6908,1,24685.921391444,106780.9,9716,1,NA,2,75685,60.8,8208,0.37,463
5599,12,1285,1,7049.35098797991,40137.4,1455,0,NA,5,1204953,100,12541,0.14,13430
5606,36,7042,-1,24704.3850183754,110744.2,9900,0,NA,7,108871,62.1,8444,0.23,-290
5610,48,2567,1,28089.5246363499,137733.7,1468,0,NA,3,85852,59.8,8965,1.15,169
5611,60,5353,1,21716.7502502962,89557.3,14723,1,NA,6,177686,74.8,10045,0.29,-309
5624,48,3703,-1,21147.0807028478,92219,0,1,NA,7,108871,62.1,8444,0.23,-290
5625,60,3703,-1,26510.559286204,129859.1,0,1,NA,8,45714,55.6,8843,0.78,70
5635,36,2144,1,30287.2146676703,142717.9,0,0,NA,5,1204953,100,12541,0.14,13430
5657,12,415,1,8705.18353992897,40306.2,489,0,NA,7,86513,50.5,8288,0.73,-102
5693,24,1837,1,11906.808161813,54576.8,3373,0,NA,1,81344,55.3,8899,0.58,-500
5706,36,4486,1,19260.5462439382,113365.5,3124,1,NA,4,226122,62.6,8994,0.99,-464
5713,60,2646,1,8944.71531123884,58998.4,1894,1,NA,2,78955,59,9060,0.66,62
5723,12,1969,1,27950.2106897095,139228.7,9503,1,NA,3,85852,59.8,8965,1.15,169
5724,60,5269,-1,6901.26079064652,38816.2,5827.77777777778,1,NA,5,1204953,100,12541,0.14,13430
5725,48,9268,1,11798.8301963365,62103.5,3869,1,NA,7,197099,74.7,9624,0.71,-219
5739,12,6365,1,8289.78009371184,40603.3,2389,0,NA,5,1204953,100,12541,0.14,13430
5740,12,1547,1,14265.870341694,56298.4,0,0,NA,5,1204953,100,12541,0.14,13430
5741,24,2856,1,20196.0740707449,93307.7,3976,1,NA,3,114006,62.3,9065,0.93,19
5750,12,5271,1,18482.2989464827,73245.5,643,0,NA,1,94725,63.4,9920,0.61,557
5754,12,1921,1,8912.01935825443,53621.8,3114,0,NA,7,387570,100,9897,0.36,-25
5804,48,3312,1,23319.3381850464,129693.2,5009,1,NA,2,139012,61.9,8363,0.97,235
5805,24,5746,-1,11982.1017548871,42659.7,0,1,NA,1,75637,36.5,9622,0.14,54
5836,24,3318,1,29061.5370551754,118473.5,9516,0,NA,7,125832,48.3,8512,0.61,-144
5837,60,4076,1,15757.722747156,71512.5,12006,0,NA,7,109164,63.6,8757,0.57,259
5861,24,2142,1,27533.4936541272,136187.2,0,1,NA,8,45714,55.6,8843,0.78,70
5876,48,4610,1,18388.5280031,105044.8,7802,1,NA,4,323870,100,10673,0.69,-435
5877,24,4051,1,7476.93779226286,42393,3716,0,NA,6,74062,61.4,8114,0.24,178
5880,36,2051,1,32965.1457780967,128707.8,0,0,NA,3,119895,89.9,10446,2.06,-204
5882,12,7318,1,6896.75358541,42642.2,5005,1,NA,5,1204953,100,12541,0.14,13430
5886,36,5354,1,28733.3431882516,128578.8,0,1,NA,7,145688,40.7,8544,0.57,187
5887,36,5354,1,16917.1617941261,120808.1,0,0,NA,7,110643,51.9,8441,1.03,373
5892,24,2770,-1,21490.6264629644,76651,0,1,NA,4,182027,56.4,8746,0.41,78
5897,24,633,1,7237.18098879355,47657.1,3195,0,NA,8,122603,80,8991,0.62,75
5900,48,2820,1,30587.6036432061,146279.5,0,1,NA,2,102609,52,8187,0.62,11
5918,36,8339,1,11447.5474997358,57376.7,5725,1,NA,7,161954,48,8720,0.77,-78
5922,12,1685,1,25420.7275660302,122406.7,8723,0,NA,1,81344,55.3,8899,0.58,-500
5923,48,1347,1,11814.9711817702,44549,0,1,NA,8,67298,43.8,8561,0.64,98
5938,60,6700,1,7900.83174172206,35450.8,554,1,NA,1,149893,67.4,9753,0.41,648
5959,24,4485,1,22727.6702252298,107183.7,3580,0,NA,1,88884,46.7,8507,0.18,515
5970,48,9689,1,13613.1005661918,79257.6,6084.61538461538,1,NA,7,125832,48.3,8512,0.61,-144
5980,12,1783,1,7990.97115123813,45848.9,0,1,NA,6,58796,51.9,9045,0.47,34
5988,24,5902,1,32279.9221627744,123110.1,0,1,NA,2,139012,61.9,8363,0.97,235
5989,36,5925,1,7864.49589327442,42043.7,4794,1,NA,2,162580,72.8,9538,0.3,-669
5997,24,4876,1,19844.2475911528,76185.2,0,1,NA,6,177686,74.8,10045,0.29,-309
5999,48,2059,1,12078.5510197319,62595.4,3938,0,NA,2,95907,59.1,8388,0.53,10
6004,24,5996,1,23416.5632154416,133871.2,2687,1,NA,2,102609,52,8187,0.62,11
6006,60,5996,1,24143.8743968576,126907.6,4710,1,NA,2,161854,76.3,9425,0.78,-194
6011,48,3736,1,14278.2257370368,81414.7,4930,1,NA,7,387570,100,9897,0.36,-25
6012,36,7179,1,17230.1596177507,61190.4,0,1,NA,5,1204953,100,12541,0.14,13430
6013,36,3583,-1,17311.1197155447,78229,0,1,NA,6,70646,58.4,8547,0.99,-21
6015,24,4588,1,28391.5690857361,134958.1,9292,1,NA,7,107911,50.9,8240,1.03,53
6019,12,950,1,6234.41540799534,39214.1,1820,0,NA,7,387570,100,9897,0.36,-25
6027,24,2569,-1,24849.149080235,88856.9,0,0,NA,1,53921,41.3,8598,0.49,278
6038,48,6739,1,26516.4280016284,119734.1,3008,0,NA,5,1204953,100,12541,0.14,13430
6043,48,424,1,9092.64521654937,44027.9,4208,0,NA,7,109164,63.6,8757,0.57,259
6063,48,6687,-1,27435.7031200293,129775,0,1,NA,5,1204953,100,12541,0.14,13430
6064,12,1219,1,9015.76816505543,51984.7,2,0,NA,7,157042,33.9,8743,0.55,235
6066,24,7242,1,24967.3908398702,133416.6,0,0,NA,4,148545,53.5,8909,1.55,130
6072,36,5388,1,30034.3134358623,119767.3,0,1,NA,4,226122,62.6,8994,0.99,-464
6073,60,4605,1,6720.21750579642,40255,3950,1,NA,7,197099,74.7,9624,0.71,-219
6077,24,3317,1,24870.2329276802,125025.7,0,1,NA,2,105606,53,8254,0.97,159
6087,60,5011,1,30520.9608072814,134375.2,5791,1,NA,3,128118,85.3,9317,0.58,-77
6103,60,2489,1,10432.3446424138,52714,8754,1,NA,2,105606,53,8254,0.97,159
6109,60,6148,1,28681.8083833356,149962.3,832,1,NA,7,125832,48.3,8512,0.61,-144
6111,24,7281,-1,28302.6531429868,104628,4650,0,NA,8,122603,80,8991,0.62,75
6112,24,7281,-1,23430.5219183994,98028.6,8110,0,NA,1,95616,51.4,9307,0.58,424
6120,48,4358,1,19403.3349506139,109583.8,0,1,NA,5,1204953,100,12541,0.14,13430
6130,48,680,1,7545.46631844196,42906,3114,1,NA,2,161854,76.3,9425,0.78,-194
6137,12,3719,1,22661.8837804567,111789.5,11878,1,NA,1,53921,41.3,8598,0.49,278
6144,12,3698,1,28278.2450646163,123290,6049,1,NA,6,58796,51.9,9045,0.47,34
6150,12,6918,1,25921.0441064247,135736.6,6327,1,NA,7,161954,48,8720,0.77,-78
6151,60,3757,1,9614.3623318295,53071.6,0,0,NA,7,117897,53.8,8814,0.98,-53
6153,60,4760,1,26473.4218237354,124977.1,0,0,NA,1,95616,51.4,9307,0.58,424
6157,24,4108,1,19656.2943813719,77813.7,10530,0,NA,1,92084,46.7,10124,-0.02,506
6169,60,1728,-1,9371.38757971168,46020.1,0,1,NA,2,95907,59.1,8388,0.53,10
6175,60,4845,-1,31590.3305958896,132451.5,0,0,NA,2,139012,61.9,8363,0.97,235
6178,48,4845,1,26204.0306754661,102065.9,0,0,NA,4,323870,100,10673,0.69,-435
6185,24,1299,1,15340.9509716157,65069.6,1413,1,NA,5,1204953,100,12541,0.14,13430
6190,60,2060,1,23277.8730933322,104955.7,0,1,NA,4,285387,89.9,10177,1.12,230
6202,12,5432,1,18172.7682504688,101510.3,0,1,NA,1,75232,41.7,8980,0.26,-11
6210,48,1817,-1,8425.33267236824,41210,5050,1,NA,6,58796,51.9,9045,0.47,34
6216,24,5885,1,19476.2939912246,106784.1,3028,1,NA,2,102609,52,8187,0.62,11
6223,48,1272,1,9064.78033824496,54916,1978,0,NA,7,161954,48,8720,0.77,-78
6227,24,1177,1,11726.6176071652,69493,0,0,NA,2,162580,72.8,9538,0.3,-669
6228,60,7742,-1,27848.6867075738,125743.1,0,0,NA,4,148545,53.5,8909,1.55,130
6229,24,489,1,11703.0397710468,69726.8,2635,1,NA,5,1204953,100,12541,0.14,13430
6232,36,7685,-1,6029.33831266494,32220.4,3128.57142857143,1,NA,7,124605,46,8772,0.29,304
6244,36,7518,-1,29717.3445728698,134301.4,5700,1,NA,5,1204953,100,12541,0.14,13430
6253,24,2490,1,12827.1939141715,69343.1,7847,1,NA,4,323870,100,10673,0.69,-435
6272,60,6644,1,21947.8810920456,121289.5,0,0,NA,4,323870,100,10673,0.69,-435
6279,24,3640,1,13552.4494898524,68974.6,0,1,NA,3,85852,59.8,8965,1.15,169
6283,48,1784,1,26945.9103806775,155704.1,0,0,NA,7,197099,74.7,9624,0.71,-219
6294,60,1332,1,11483.0132846738,73499.5,586,1,NA,8,170449,100,10787,0.45,220
6296,48,5633,1,18202.5397930386,90594.4,13076,1,NA,1,75232,41.7,8980,0.26,-11
6297,12,1459,1,9324.20998158318,53532.3,0,1,NA,1,107870,58,8754,0.48,64
6302,60,3017,1,9801.68064452976,59975.3,0,0,NA,2,78955,59,9060,0.66,62
6303,24,3017,-1,19929.621714111,82919.5,0,0,NA,8,51313,59.2,8930,0.68,124
6306,12,3057,1,7937.35331596712,50074.2,5731.25,0,NA,4,285387,89.9,10177,1.12,230
6309,24,4589,1,29147.9849170016,140142.8,4891,0,NA,5,1204953,100,12541,0.14,13430
6315,12,3597,1,22291.6540331866,119271.4,0,0,NA,7,117897,53.8,8814,0.98,-53
6316,12,6409,-1,23250.7804345665,124902.8,0,0,NA,1,149893,67.4,9753,0.41,648
6336,36,5900,1,27309.5010856471,132915.2,0,0,NA,3,85852,59.8,8965,1.15,169
6342,36,1671,-1,34206.9874151755,159312.8,3881,1,NA,6,93931,56.9,8427,0.42,39
6354,36,638,1,11195.5739582455,37831,0,0,NA,6,93931,56.9,8427,0.42,39
6356,36,2650,1,23576.7433442569,92154.8,0,1,NA,1,95616,51.4,9307,0.58,424
6358,60,2298,-1,11727.0660486249,52458.4,0,1,NA,4,226122,62.6,8994,0.99,-464
6362,12,3159,1,12938.940496291,68730.4,0,0,NA,7,145688,40.7,8544,0.57,187
6403,48,4060,1,13195.884796079,70838.8,4585,1,NA,4,323870,100,10673,0.69,-435
6407,24,1081,1,17426.036797827,79555.2,0,0,NA,3,118650,85.6,9832,1.16,-974
6421,36,2688,1,22929.2438140538,116930.9,13167,0,NA,3,85852,59.8,8965,1.15,169
6456,12,3918,1,23888.3215594482,112701.6,14581,0,NA,2,112709,73.5,8369,0.52,-236
6460,36,1352,1,5423.58757653173,33184.4,2683,0,NA,7,157042,33.9,8743,0.55,235
6461,36,2059,1,30062.3897433142,159365.9,1080,0,NA,1,107870,58,8754,0.48,64
6471,24,6485,1,13513.4703010347,72338.9,3434,0,NA,1,95616,51.4,9307,0.58,424
6474,60,1056,1,6107.70691624117,40033.8,5394,1,NA,2,75685,60.8,8208,0.37,463
6499,24,3373,1,12270.8957420796,66429.6,7266,1,NA,5,1204953,100,12541,0.14,13430
6501,12,2523,-1,12216.3463270595,57621.4,14900,0,NA,6,103347,67,9104,0.56,55
6509,24,2307,1,24131.838911621,113150.7,0,0,NA,7,197099,74.7,9624,0.71,-219
6512,48,1319,1,5522.43286901478,30962.9,2306,0,NA,8,51313,59.2,8930,0.68,124
6520,24,3800,1,15743.4335553044,76036.9,10279,0,NA,3,119895,89.9,10446,2.06,-204
6526,36,8013,1,16205.7218110815,71339.2,0,0,NA,7,86513,50.5,8288,0.73,-102
6535,12,3496,1,13263.3487517078,71027,3861,1,NA,2,161854,76.3,9425,0.78,-194
6540,48,6450,1,20963.7284754465,111963.1,0,1,NA,4,226122,62.6,8994,0.99,-464
6545,60,3198,1,26747.6519343773,128139.4,4268,1,NA,6,103347,67,9104,0.56,55
6546,24,1322,1,9913.02291629028,55522.8,6020,1,NA,5,1204953,100,12541,0.14,13430
6550,48,6679,1,21161.1082372356,117327.8,0,0,NA,7,145688,40.7,8544,0.57,187
6577,24,2154,1,26115.0300582261,123739.4,0,0,NA,4,323870,100,10673,0.69,-435
6578,12,2332,1,16237.3338015726,81852.4,8217,1,NA,2,139012,61.9,8363,0.97,235
6580,48,4085,1,23182.3966120405,96557.4,0,1,NA,8,87419,85.5,8624,0.87,319
6585,60,6202,1,25895.9123556906,127995.4,0,1,NA,7,197099,74.7,9624,0.71,-219
6589,24,7904,1,23400.6344403618,124686.9,1475,1,NA,6,51428,52.7,8402,0.85,100
6591,48,434,1,5923.77470848619,41497.9,1953,1,NA,3,85852,59.8,8965,1.15,169
6594,24,7904,-1,8889.03819319053,21900,0,0,NA,7,110643,51.9,8441,1.03,373
6596,24,3816,1,18234.7410890329,82039.4,0,0,NA,3,133777,84.7,8705,1.86,209
6598,12,5676,1,19532.4684934742,111288.8,8157,0,NA,3,88768,80.5,8867,0.19,236
6599,12,6010,1,20598.0023080414,108338.9,0,0,NA,2,139012,61.9,8363,0.97,235
6600,36,607,1,15001.8555730028,60163.2,0,1,NA,3,125236,87.7,9675,1.25,-133
6613,24,3505,1,24271.6240579839,88670.9,0,0,NA,4,42821,48.4,8173,0,0
6624,12,5955,1,19235.7296006123,82349,7268,1,NA,7,157042,33.9,8743,0.55,235
6642,12,6470,1,23174.9518368682,116789.5,0,1,NA,8,67298,43.8,8561,0.64,98
6644,24,3900,1,21469.6303402672,95208.3,1074,1,NA,1,81344,55.3,8899,0.58,-500
6645,36,3900,1,18981.7909761338,114600.2,0,1,NA,4,323870,100,10673,0.69,-435
6647,48,4340,1,16039.8608356021,82781.9,0,0,NA,8,51313,59.2,8930,0.68,124
6650,12,4110,-1,24439.8771809198,125933,695,0,NA,8,122603,80,8991,0.62,75
6659,60,935,1,8426.83221179932,44346.1,6216,1,NA,7,387570,100,9897,0.36,-25
6667,24,6495,1,26666.1457993998,163648.6,8305,0,NA,3,114006,62.3,9065,0.93,19
6668,36,2076,1,10605.6881129534,61384,6184,1,NA,2,77917,53.5,8390,0.61,42
6676,24,1241,1,13131.9771257266,49020.3,0,0,NA,8,170449,100,10787,0.45,220
6678,12,6695,1,26678.2587142345,121423.5,0,0,NA,5,1204953,100,12541,0.14,13430
6686,36,6239,1,21234.8560104119,108978.4,0,1,NA,8,51313,59.2,8930,0.68,124
6687,24,3660,1,20670.9773821631,65347.8,0,0,NA,1,53921,41.3,8598,0.49,278
6694,24,5616,1,25288.2009752466,111939.2,0,0,NA,4,285387,89.9,10177,1.12,230
6696,60,1484,1,8832.0792786139,45750.2,7041,0,NA,4,148545,53.5,8909,1.55,130
6698,48,5161,1,23168.3394450149,108190.1,4104,1,NA,5,1204953,100,12541,0.14,13430
