"account_id","Id","amount","duration","payments","Predicted","client_id","birth_number","district_id","gender","household_amount"
2,4959,80952,24,3373,1,2,1945-02-04,1,1,7266
19,4961,30276,12,2523,-1,25,1939-04-23,21,0,15925
67,4973,165960,24,6915,1,78,1944-06-13,16,0,6393
132,4996,88440,12,7370,1,158,1945-07-03,40,0,0
173,5002,104808,12,8734,1,210,1939-11-30,66,1,6256
290,5032,123696,48,2577,1,352,1940-08-27,56,1,2653
344,5044,100980,60,1683,1,421,1965-07-31,54,1,4739
347,5045,187224,24,7801,-1,424,1947-10-08,1,1,0
426,5060,252060,60,4201,-1,512,1965-08-03,60,0,7497
501,5082,262980,60,4383,1,603,1966-03-09,13,0,0
544,5088,91152,24,3798,1,655,1942-12-10,32,1,0
789,5125,73056,48,1522,1,944,1970-12-18,39,1,2153
790,5126,208128,48,4336,-1,946,1951-08-06,54,1,0
808,5128,215616,48,4492,-1,968,1957-02-17,69,1,10440
813,5130,24312,12,2026,1,976,1955-11-19,16,0,0
816,5131,48624,24,2026,1,980,1961-09-30,40,1,4514
817,5132,538500,60,8975,1,981,1960-06-28,5,1,4605
846,5136,187104,24,7796,1,1020,1977-05-10,72,0,0
854,5138,87216,48,1817,1,1029,1954-03-16,1,0,382
915,5145,309552,48,6449,1,1102,1935-01-29,72,1,14291
940,5148,284280,60,4738,1,1133,1958-09-15,37,0,0
960,5151,189060,60,3151,1,1157,1958-12-30,4,0,5940
1011,5160,204000,60,3400,1,1215,1944-05-06,45,1,7085
1012,5161,98184,24,4091,1,1216,1945-06-12,65,0,0
1071,5170,253200,60,4220,1,1286,1950-03-13,52,0,0
1106,5176,192552,24,8023,-1,1327,1963-12-31,20,0,0
1166,5189,149040,48,3105,1,1404,1968-12-20,11,0,4397
1247,5208,99696,48,2077,-1,1505,1971-06-25,65,0,0
1250,5209,182640,48,3805,1,1509,1942-04-19,62,0,61
1256,5212,71064,36,1974,1,1516,1946-10-17,38,0,1178
1375,5237,45336,24,1889,1,1663,1957-04-29,19,1,5930
1527,5269,164052,36,4557,-1,1851,1975-09-12,31,0,0
1583,5282,388512,48,8094,-1,1917,1969-03-13,69,0,0
1603,5285,78936,12,6578,1,1944,1957-01-22,31,0,2359
1698,5301,141948,36,3943,1,2063,1950-09-26,68,0,0
1762,5310,248148,36,6893,1,2136,1940-07-24,28,0,853
1766,5311,30060,60,501,1,2141,1951-09-06,28,1,4353
1772,5312,202788,36,5633,1,2148,1953-07-20,31,0,11994
1787,5314,96396,12,8033,-1,2166,1947-07-22,30,0,0
1801,5316,165960,36,4610,1,2181,1968-07-22,46,1,4167
1811,5319,239460,60,3991,1,2195,1942-09-13,68,0,4206
1843,5325,105804,36,2939,1,2235,1940-04-20,14,0,6994
1862,5329,396120,60,6602,1,2259,1950-01-02,19,0,0
1886,5337,162468,36,4513,1,2288,1957-08-23,32,0,0
1967,5350,249312,48,5194,1,2392,1955-05-21,26,1,14164
1978,5351,205200,36,5700,1,2403,1963-01-25,1,0,7001
1993,5352,68400,12,5700,-1,2422,1976-06-09,68,0,0
2062,5366,86184,12,7182,1,2501,1940-12-04,70,0,107
2106,5375,101520,12,8460,1,2550,1976-10-12,1,0,3468
2143,5385,71460,36,1985,1,2592,1980-08-31,1,0,7264
2153,5388,61560,12,5130,1,2606,1943-01-04,31,1,1737
2167,5390,170256,24,7094,1,2623,1965-07-16,16,0,5922
2176,5395,299088,36,8308,-1,2635,1966-12-10,67,0,1085
2218,5409,182040,60,3034,1,2686,1951-03-24,19,0,0
2227,5413,92976,24,3874,1,2698,1970-10-07,31,0,13386
2228,5414,185952,48,3874,1,2700,1945-02-22,34,1,4625
2236,5415,139464,36,3874,-1,2708,1958-08-12,73,1,0
2245,5418,347952,48,7249,1,2719,1964-10-30,29,0,0
2268,5429,20196,36,561,1,2746,1971-02-25,1,1,5742
2322,5445,46320,24,1930,1,2809,1979-02-14,33,1,3359
2343,5449,99336,24,4139,1,2831,1980-07-09,68,0,4723
2345,5450,199680,60,3328,1,2834,1949-05-23,52,1,3612
2352,5452,49440,60,824,1,2843,1966-10-06,70,0,5581
2361,5453,156672,36,4352,1,2853,1956-04-25,28,0,4613
2419,5464,95808,12,7984,1,2922,1940-09-07,43,1,0
2456,5470,200976,48,4187,1,2966,1955-02-20,65,1,9554
2486,5479,24516,12,2043,1,3001,1958-10-07,1,1,0
2496,5482,165120,60,2752,1,3013,1950-03-18,51,0,4982
2572,5494,360000,48,7500,1,3103,1973-03-07,64,0,0
2580,5495,89340,60,1489,1,3113,1971-11-12,60,0,5016
2694,5519,91632,12,7636,1,3251,1962-12-28,52,0,3532
2705,5523,93888,36,2608,1,3264,1950-10-20,63,0,0
2762,5533,111384,24,4641,1,3335,1967-02-10,11,1,6892
