district_id,Id,amount,duration,payments,Predicted,birth_number,gender,household_amount,name,region,no. of inhabitants,ratio of urban inhabitants,average salary,no. of enterpreneurs per 1000 inhabitants,diff_unemploymant,avg_unemploymant,diff_crimes,avg_crimes,ratio_crimes
1,4959,80952,24,3373,1,04/02/1945,1,7266,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5599,15420,12,1285,1,04/06/1965,0,1455,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5739,76380,12,6365,1,28/06/1957,0,2389,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5740,18564,12,1547,1,04/02/1963,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6546,31728,24,1322,1,10/04/1950,1,6020,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5351,205200,36,5700,1,25/01/1963,0,7001,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6229,11736,24,489,1,16/09/1938,1,2635,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5045,187224,24,7801,-1,08/10/1947,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5045,187224,24,7801,-1,08/10/1947,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5375,101520,12,8460,1,12/10/1976,0,3468,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5385,71460,36,1985,1,31/08/1980,0,7264,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6785,125340,60,2089,1,15/06/1944,1,3713,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6185,31176,24,1299,1,29/01/1968,1,1413,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6063,320976,48,6687,-1,09/08/1936,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6063,320976,48,6687,-1,09/08/1936,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5724,316140,60,5269,-1,22/02/1968,1,5827.77777777778,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5724,316140,60,5269,-1,22/02/1968,1,5827.77777777778,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,7194,68832,36,1912,1,01/07/1959,1,5435,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5882,87816,12,7318,1,02/05/1961,1,5005,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6698,247728,48,5161,1,19/06/1979,1,4104,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6820,38148,12,3179,1,22/01/1965,0,4697,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5138,87216,48,1817,1,16/03/1954,0,382,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5429,20196,36,561,1,25/02/1971,1,5742,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,7057,231696,36,6436,1,30/05/1973,1,2762,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,7142,482940,60,8049,-1,21/05/1976,0,2439,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,7142,482940,60,8049,-1,21/05/1976,0,2439,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6499,80952,24,3373,1,04/02/1945,1,7266,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5576,31248,12,2604,1,15/03/1939,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6919,120888,36,3358,1,20/04/1944,0,3225,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6678,80340,12,6695,1,06/02/1976,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,5479,24516,12,2043,1,07/10/1958,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6038,323472,48,6739,1,15/10/1940,0,3008,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,6960,76416,24,3184,1,02/09/1937,1,10597,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
1,7008,36168,12,3014,1,19/08/1961,1,1507,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588
