"account_id","district_id","Id","amount","duration","payments","Predicted","client_id","birth_number","gender","household_amount","name","region","no. of inhabitants","ratio of urban inhabitants","average salary","no. of enterpreneurs per 1000 inhabitants","diff_unemploymant","avg_unemploymant","diff_crimes","avg_crimes","ratio_crimes","type_card"
2,1,4959,80952,24,3373,1,2,1945-02-04,1,7266,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
19,21,4961,30276,12,2523,-1,25,1939-04-23,0,15925,65,6,103347,67,9104,123,0.56,1.79,55,2326.5,0.0225115387964818,0
67,16,4973,165960,24,6915,1,78,1944-06-13,0,6393,25,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0
132,40,4996,88440,12,7370,1,158,1945-07-03,0,0,67,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0
173,66,5002,104808,12,8734,1,210,1939-11-30,1,6256,75,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0
290,56,5032,123696,48,2577,1,352,1940-08-27,1,2653,4,7,124605,46,8772,126,0.29,4.835,304,3006,0.0241242325749368,0
344,54,5044,100980,60,1683,1,421,1965-07-31,1,4739,5,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0
347,1,5045,187224,24,7801,-1,424,1947-10-08,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
426,60,5060,252060,60,4201,-1,512,1965-08-03,0,7497,56,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0
501,13,5082,262980,60,4383,1,603,1966-03-09,0,0,57,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0
544,32,5088,91152,24,3798,1,655,1942-12-10,1,0,8,3,105058,81,9272,118,0.42,3.01,165,4422.5,0.0420957947038779,2
789,39,5125,73056,48,1522,1,944,1970-12-18,1,2153,38,3,119895,89.9,10446,90,2.06,8.37,-204,4845,0.0404103590641812,0
790,54,5126,208128,48,4336,-1,946,1951-08-06,1,0,5,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0
808,69,5128,215616,48,4492,-1,968,1957-02-17,1,10440,22,4,42821,48.4,8173,124,0,7.01,0,1358,0.0317134116438196,0
813,16,5130,24312,12,2026,1,976,1955-11-19,0,0,25,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0
816,40,5131,48624,24,2026,1,980,1961-09-30,1,4514,67,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0
817,5,5132,538500,60,8975,1,981,1960-06-28,1,4605,30,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0
846,72,5136,187104,24,7796,1,1020,1977-05-10,0,0,42,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0
854,1,5138,87216,48,1817,1,1029,1954-03-16,0,382,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
915,72,5145,309552,48,6449,1,1102,1935-01-29,1,14291,42,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0
940,37,5148,284280,60,4738,1,1133,1958-09-15,0,0,34,3,114006,62.3,9065,123,0.93,4.925,19,4156.5,0.0364586074417136,0
960,4,5151,189060,60,3151,1,1157,1958-12-30,0,5940,28,1,149893,67.4,9753,109,0.41,4.845,648,5568,0.0371464978351224,0
1011,45,5160,204000,60,3400,1,1215,1944-05-06,1,7085,23,2,77917,53.5,8390,132,0.61,2.585,42,2101,0.0269645905258159,0
1012,65,5161,98184,24,4091,1,1216,1945-06-12,0,0,77,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0
1071,52,5170,253200,60,4220,1,1286,1950-03-13,0,0,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
1106,20,5176,192552,24,8023,-1,1327,1963-12-31,0,0,62,6,70646,58.4,8547,120,0.99,3.145,-21,1552.5,0.0219757664977493,0
