"district_id","Id","amount","duration","payments","Predicted","birth_number","gender","household_amount","region","no. of inhabitants","ratio of urban inhabitants","average salary","no. of enterpreneurs per 1000 inhabitants","diff_unemploymant","avg_unemploymant","diff_crimes","avg_crimes","ratio_crimes","type_card","balance_sd","balance_diff"
1,4959,80952,24,3373,1,1945-02-04,1,7266,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,12061.7056818761,66429.6
21,4961,30276,12,2523,-1,1939-04-23,0,15925,6,103347,67,9104,123,0.56,1.79,55,2326.5,0.0225115387964818,0,15039.2484049323,57442.5
16,4973,165960,24,6915,1,1944-06-13,0,6393,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0,20955.6469983724,106369.6
40,4996,88440,12,7370,1,1945-07-03,0,0,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0,21638.2588696712,103039
66,5002,104808,12,8734,1,1939-11-30,1,6256,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0,11517.1752482123,57365.3
56,5032,123696,48,2577,1,1940-08-27,1,2653,7,124605,46,8772,126,0.29,4.835,304,3006,0.0241242325749368,0,20572.4575297371,89522.2
54,5044,100980,60,1683,1,1965-07-31,1,4739,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0,9576.32771690869,52776.7
1,5045,187224,24,7801,-1,1947-10-08,1,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,22038.4815890867,92814.6
60,5060,252060,60,4201,-1,1965-08-03,0,7497,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0,21418.9138558837,105359.6
13,5082,262980,60,4383,1,1966-03-09,0,0,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0,16330.1732223154,77674.3
32,5088,91152,24,3798,1,1942-12-10,1,0,3,105058,81,9272,118,0.42,3.01,165,4422.5,0.0420957947038779,2,13400.0640966406,71927.7
39,5125,73056,48,1522,1,1970-12-18,1,2153,3,119895,89.9,10446,90,2.06,8.37,-204,4845,0.0404103590641812,0,6550.59542995513,33055.4
54,5126,208128,48,4336,-1,1951-08-06,1,0,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0,22812.186440376,97133.7
69,5128,215616,48,4492,-1,1957-02-17,1,10440,4,42821,48.4,8173,124,0,7.01,0,1358,0.0317134116438196,0,13056.9873065428,53549.4
16,5130,24312,12,2026,1,1955-11-19,0,0,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0,7695.86280086246,47177.9
40,5131,48624,24,2026,1,1961-09-30,1,4514,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0,25825.8581816605,133987.4
5,5132,538500,60,8975,1,1960-06-28,1,4605,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0,13408.0203646534,69575.9
72,5136,187104,24,7796,1,1977-05-10,0,0,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0,34581.4013483708,136893.5
1,5138,87216,48,1817,1,1954-03-16,0,382,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,6554.7605128343,43087.3
72,5145,309552,48,6449,1,1935-01-29,1,14291,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0,21979.384405419,121013.2
37,5148,284280,60,4738,1,1958-09-15,0,0,3,114006,62.3,9065,123,0.93,4.925,19,4156.5,0.0364586074417136,0,20167.8024295163,109061.9
4,5151,189060,60,3151,1,1958-12-30,0,5940,1,149893,67.4,9753,109,0.41,4.845,648,5568,0.0371464978351224,0,24683.0632141581,101593.6
45,5160,204000,60,3400,1,1944-05-06,1,7085,2,77917,53.5,8390,132,0.61,2.585,42,2101,0.0269645905258159,0,12656.7828254321,67772.8
65,5161,98184,24,4091,1,1945-06-12,0,0,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0,19672.650902027,68456.1
52,5170,253200,60,4220,1,1950-03-13,0,0,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,26552.7395045982,103617.9
20,5176,192552,24,8023,-1,1963-12-31,0,0,6,70646,58.4,8547,120,0.99,3.145,-21,1552.5,0.0219757664977493,0,13015.0266748654,48763
11,5189,149040,48,3105,1,1968-12-20,0,4397,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0,12658.2467643,62241.6
