"district_id","loan_id","date","amount","duration","payments","status","birth_number","gender","household_amount","region","no. of inhabitants","no. of municipalities with inhabitants < 499","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999","no. of municipalities with inhabitants >10000","no. of cities","ratio of urban inhabitants","average salary","unemploymant rate '95","unemploymant rate '96","no. of enterpreneurs per 1000 inhabitants","no. of commited crimes '95","no. of commited crimes '96","type_card","balance_sd","balance_diff","frequency"
1,4959,940105,80952,24,3373,1,450204,1,7266,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",12061.7056818761,66429.6,"monthly issuance"
21,4961,960429,30276,12,2523,-1,390423,0,15925,"south Bohemia",103347,87,16,7,1,7,67,9104,1.51,2.07,123,2299,2354,"none",15039.2484049323,57442.5,"monthly issuance"
16,4973,960502,165960,24,6915,1,440613,0,6393,"south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"none",20955.6469983724,106369.6,"monthly issuance"
40,4996,961106,88440,12,7370,1,450703,0,0,"north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"none",21638.2588696712,103039,"issuance after transaction"
66,5002,940531,104808,12,8734,1,391130,1,6256,"south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"none",11517.1752482123,57365.3,"monthly issuance"
56,5032,941103,123696,48,2577,1,400827,1,2653,"south Moravia",124605,11,42,14,1,8,46,8772,4.69,4.98,126,2854,3158,"none",20572.4575297371,89522.2,"monthly issuance"
54,5044,941221,100980,60,1683,1,650731,1,4739,"south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"none",9576.32771690869,52776.7,"monthly issuance"
1,5045,950501,187224,24,7801,-1,471008,1,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",22038.4815890867,92814.6,"monthly issuance"
60,5060,940719,252060,60,4201,-1,650803,0,7497,"south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"none",21418.9138558837,105359.6,"monthly issuance"
13,5082,961024,262980,60,4383,1,660309,0,0,"central Bohemia",53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,"none",16330.1732223154,77674.3,"monthly issuance"
32,5088,960822,91152,24,3798,1,421210,1,0,"north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,"classic",13400.0640966406,71927.7,"monthly issuance"
39,5125,951123,73056,48,1522,1,701218,1,2153,"north Bohemia",119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,"none",6550.59542995513,33055.4,"monthly issuance"
54,5126,940724,208128,48,4336,-1,510806,1,0,"south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"none",22812.186440376,97133.7,"monthly issuance"
69,5128,960411,215616,48,4492,-1,570217,1,10440,"north Moravia",42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,"none",13056.9873065428,53549.4,"monthly issuance"
