"client_id","account_id","loan_id","disp_id","type_disp","frequency","date_account","ammount_loan","duration","payments","balance","balance_sd","status","type_card","birth_number","gender","year"
10040,8127,6667,9732,"OWNER","monthly issuance",941013,155880,24,6495,62045.5,26666.1457993998,1,NA,681030,"f",68
10043,8129,6668,9735,"OWNER","monthly issuance",930626,74736,36,2076,41302.2,10605.6881129534,1,NA,651029,"m",65
10077,8159,6676,9769,"DISPONENT","monthly issuance",950208,29784,24,1241,28456.3,13131.9771257266,1,NA,730627,"m",73
10199,8260,6686,9891,"DISPONENT","monthly issuance",930324,224604,36,6239,51658.4,21234.8560104119,1,NA,790813,"f",79
1020,846,5136,1020,"OWNER","monthly issuance",960309,187104,24,7796,86877.7,34581.4013483708,1,NA,770510,"f",77
10201,8261,6687,9893,"DISPONENT","monthly issuance",930512,87840,24,3660,64813.3,20670.9773821631,1,NA,851019,"m",85
10269,8316,6694,9961,"OWNER","monthly issuance",940604,134784,24,5616,24610.6,25288.2009752466,1,NA,400511,"f",40
10275,8321,6696,9967,"OWNER","monthly issuance",930412,89040,60,1484,29434.4,8832.0792786139,1,NA,700125,"f",70
10282,8327,6698,9974,"OWNER","weekly issuance",950808,247728,48,5161,40433.4,23168.3394450149,1,NA,790619,"m",79
10288,8330,6699,9980,"DISPONENT","monthly issuance",930328,7656,24,319,41406.7,12923.5603454957,1,NA,590607,"m",59
10351,8377,6704,10043,"DISPONENT","monthly issuance",931120,417060,60,6951,29874.5,25817.7354135523,1,NA,581110,"m",58
10382,8405,6712,10074,"OWNER","monthly issuance",940510,266220,60,4437,44296.3,11836.4476034268,1,NA,650217,"f",65
10389,8411,6715,10081,"OWNER","monthly issuance",941202,220620,60,3677,34795.9,14352.078379313,1,NA,430815,"f",43
10479,8492,6726,10171,"OWNER","monthly issuance",940629,85860,60,1431,32023.7,7824.8666290422,1,NA,551020,"f",55
10511,8519,6729,10203,"DISPONENT","monthly issuance",930402,74688,12,6224,36320.1,20930.650934413,1,NA,500115,"m",50
10528,8533,6732,10220,"OWNER","monthly issuance",951010,174048,48,3626,82741.6,23455.927264329,1,NA,520216,"f",52
10543,8547,6734,10235,"OWNER","weekly issuance",950717,173016,36,4806,56004.2,26512.878935391,1,NA,450223,"f",45
10555,8558,6736,10247,"OWNER","issuance after transaction",940227,288360,60,4806,31358,16686.2311887643,1,NA,351215,"m",35
10563,8564,6737,10255,"OWNER","monthly issuance",930912,76680,24,3195,51733.9,21005.6802918876,1,NA,490107,"m",49
10566,8566,6738,10258,"OWNER","monthly issuance",931008,230220,36,6395,900,29524.489997328,-1,NA,421109,"f",42
10636,8625,6745,10328,"OWNER","monthly issuance",931110,47304,24,1971,71623.2,30916.763221259,1,NA,710803,"m",71
10703,8680,6751,10395,"DISPONENT","monthly issuance",960212,85716,36,2381,21742.4,12288.0630072131,1,NA,430428,"f",43
10818,8776,6764,10510,"OWNER","monthly issuance",940824,33984,48,708,41431.2,9896.49244594163,1,NA,720804,"m",72
10963,8899,6785,10655,"OWNER","weekly issuance",940905,125340,60,2089,75577.1,22705.1827824266,1,NA,440615,"m",44
1102,915,5145,1102,"OWNER","monthly issuance",950118,309552,48,6449,88399.7,21979.384405419,1,NA,350129,"m",35
11050,8972,6805,10742,"OWNER","monthly issuance",960521,45024,48,938,33349.6,13151.5102543473,1,NA,570504,"f",57
11064,8982,6808,10756,"DISPONENT","monthly issuance",930925,227880,36,6330,65199.7,29551.4830543201,1,NA,530709,"m",53
11093,9006,6810,10785,"OWNER","weekly issuance",940902,186384,48,3883,54816.3,27339.8874685749,1,NA,590129,"m",59
11105,9017,6816,10797,"OWNER","monthly issuance",951122,100224,48,2088,21921.4,9838.64837040488,-1,NA,570201,"f",57
11114,9024,6817,10806,"OWNER","monthly issuance",960105,70656,48,1472,39228.6,12948.7615374929,1,NA,520726,"m",52
11121,9030,6818,10813,"OWNER","monthly issuance",950121,155616,48,3242,19918.6,11044.4943921964,1,NA,710410,"f",71
11126,9034,6820,10818,"OWNER","monthly issuance",930628,38148,12,3179,35476.6,13293.4318052437,1,NA,650122,"f",65
11208,9104,6841,10900,"OWNER","monthly issuance",940121,172080,48,3585,28800.5,21110.3118747415,1,NA,570305,"f",57
11314,9188,6863,11006,"OWNER","monthly issuance",930208,127080,60,2118,30313.2,11520.1844510437,1,NA,360602,"m",36
11327,9199,6865,11019,"OWNER","monthly issuance",960515,29448,12,2454,28993.9,11482.4951554331,-1,NA,471021,"m",47
1133,940,5148,1133,"OWNER","monthly issuance",941115,284280,60,4738,54610.8,20167.8024295163,1,NA,580915,"f",58
11372,9236,6876,11064,"OWNER","monthly issuance",930818,86616,12,7218,12706,11715.9751727452,1,NA,610928,"m",61
1157,960,5151,1157,"OWNER","issuance after transaction",941102,189060,60,3151,80464.6,24683.0632141581,1,NA,581230,"f",58
11574,9403,6919,11266,"OWNER","weekly issuance",930327,120888,36,3358,73046.7,21557.4645434396,1,NA,440420,"f",44
11596,9422,6921,11288,"OWNER","monthly issuance",960306,86184,12,7182,49017.7,24799.9740378728,1,NA,401204,"f",40
11685,9493,6933,11377,"OWNER","monthly issuance",950402,188688,48,3931,35610.7,20050.2784167389,1,NA,650723,"f",65
11710,9510,6940,11402,"DISPONENT","monthly issuance",960609,228276,36,6341,47513.9,14856.8141901735,1,NA,670619,"f",67
11754,9548,6944,11446,"OWNER","monthly issuance",960607,46176,48,962,41529.1,13279.6378527179,1,NA,661103,"m",66
11794,9583,6949,11486,"OWNER","weekly issuance",940522,104712,24,4363,14296.8,25655.5136540927,1,NA,701007,"f",70
11804,9591,6950,11496,"OWNER","monthly issuance",930520,104712,24,4363,41190.9,27075.7420583239,1,NA,441212,"m",44
11851,9627,6955,11543,"OWNER","issuance after transaction",940722,244368,48,5091,101552.4,25561.8276844292,1,NA,700402,"m",70
11867,9640,6960,11559,"DISPONENT","monthly issuance",930313,76416,24,3184,41494.2,11990.8733564062,1,NA,341119,"f",34
11873,9645,6961,11565,"OWNER","monthly issuance",960123,176148,36,4893,48902.3,21431.2378562617,1,NA,631120,"f",63
11886,9656,6965,11578,"OWNER","monthly issuance",931114,139536,24,5814,79232.9,30644.1570757547,1,NA,410913,"f",41
11979,9731,6985,11671,"DISPONENT","issuance after transaction",941201,113796,36,3161,42521,11410.8354231442,1,NA,771209,"f",77
12003,9750,6986,11695,"OWNER","monthly issuance",940516,151728,48,3161,6530.3,24000.1249980636,-1,NA,760623,"m",76
12050,9790,6992,11742,"OWNER","monthly issuance",951109,133968,48,2791,78369.9,22590.1043080536,1,"classic",430530,"m",43
12079,9814,6995,11771,"OWNER","weekly issuance",950119,96168,12,8014,50458.6,21691.1342547418,1,NA,720812,"f",72
1215,1011,5160,1215,"OWNER","monthly issuance",941217,204000,60,3400,40883.4,12656.7828254321,1,NA,440506,"m",44
